Week,Weekly breakdown ,Avg Weekly Flu,Avg Weekly Pollen,Avg Weekly Temperature ,Avg Weekly K.Brevis,Tourists (%occupancy),ED Visits (all),ED Vistis (bronchitis/UAD)
4.10.2004,133,0.4,720,68,250,,42,25
4.17.2004,134,0,240,70,0,,42,25
4.24.2004,135,1.9,111,74,0,,42,25
5.1.2004,136,0,73,74,0,,38,20
5.8.2004,137,0,56,76,0,,38,20
5.15.2004,138,0,48,76,0,,38,20
5.22.2004,139,0,48,78,455,,38,20
5.29.2004,140,0,25,81,250,,38,20
6.5.2004,141,0,14,79,0,,29,20
6.12.2004,142,0,0,81,0,,29,20
6.19.2004,143,0,63,83,167,,29,20
6.26.2004,144,0,33,81,0,,29,20
7.3.2004,145,0,69,82,0,,18,7
7.10.2004,146,0,35,83,0,,18,7
7.17.2004,147,0,18,82,0,,18,7
7.24.2004,148,0,21,81,0,,18,7
7.31.2004,149,0,7,82,0,,18,7
8.7.2004,150,0,24,81,0,,51,33
8.14.2004,151,0,17,81,0,,51,33
8.21.2004,152,0,28,82,0,,51,33
8.28.2004,153,0,15,84,0,,51,33
9.4.2004,154,0,9,81,0,,41,24
9.11.2004,155,0,39,82,0,,41,24
9.18.2004,156,0,50,80,0,,41,24
9.25.2004,157,0,28,80,333,,41,24
10.2.2004,158,0,13,80,1956,,38,19
10.9.2004,159,0,27,76,364,,38,19
10.16.2004,160,0,170,76,333,,38,19
10.23.2004,161,0.5,18,75,1000,,38,19
10.30.2004,162,0.5,40,76,0,,38,19
11.6.2004,163,0.1,33,70,0,,26,11
11.13.2004,164,0.3,2,69,0,,26,11
11.20.2004,165,1.7,8,70,0,,26,11
11.27.2004,166,1.6,7,68,0,,26,11
12.4.2004,167,1.7,9,69,0,,24,16
12.11.2004,168,6.9,8,58,0,,24,16
12.18.2004,169,3,4,60,0,,24,16
12.25.2004,170,11.9,0,59,0,,24,16
1.1.2005,171,6.5,36,68,495931,69%,73,48
1.8.2005,172,0,261,68,79658,69%,73,48
1.15.2005,173,11.6,0,56,222138,69%,73,48
1.22.2005,174,14.7,0,58,284009,69%,73,48
